long,lat,county,pop
-83.5809385,44.68373364,alcona,10943
-86.49058357,46.4248025,alger,9531
-85.90854214,42.5937585,allegan,111589
-83.57719,45.03178246,alpena,29602
-85.14477963,45.00996867,antrim,23634
-83.86580077,44.03701843,arenac,15952
-88.335469,46.693308,baraga,8808
-85.3085865,42.5953165,barry,59249
-83.9334715,43.7379655,bay,107633
-86.0370745,44.64568078,benzie,17554
-86.523884,42.001413,berrien,156759
-85.05937795,41.915917,branch,44920
-85.004518,42.245943,calhoun,136063
-85.99314144,41.9152675,cass,52412
-85.1813515,45.4375625,charlevoix,26057
-84.46931486,45.49332306,cheboygan,26195
-84.35554709,46.3427035,chippewa,38919
-84.847423,43.9889575,clare,30924
-84.600372,42.9443655,clinton,75274
-84.610786,44.68263,crawford,14119
-86.91385458,45.85453132,delta,37075
-87.876012,45.98477704,dickinson,26286
-84.837324,42.596106,eaton,107861
-84.92606261,45.534006,emmet,32799
-83.6927175,43.001976,genesee,425337
-84.3871055,43.988503,gladwin,25736
-89.704362,46.43157781,gogebic,16297
-85.575319,44.751678,grand traverse,87483
-84.6068785,43.292048,gratiot,42340
-84.59345489,41.8847725,hillsdale,46617
-88.60939413,46.8529005,houghton,36519
-83.03683079,43.869062,huron,33001
-84.371737,42.5993115,ingham,281323
-85.074701,42.9443645,ionia,64149
-83.602122,44.33676012,iosco,25880
-88.5539035,46.16935074,iron,11837
-84.847423,43.640612,isabella,70186
-84.4248145,42.2474885,jackson,160257
-85.528989,42.24538,kalamazoo,250704
-85.0906545,44.6853385,kalkaska,17231
-85.550144,43.031205,kent,605244
-88.4828365,47.6953785,keweenaw,2168
-85.8022135,43.991351,lake,11543
-83.22219,43.1037405,lapeer,88626
-85.8417115,44.9926335,leelanau,21677
-84.06322605,41.89467771,lenawee,99878
-83.9114985,42.603706,livingston,181678
-85.551432,46.50016689,luce,6590
-84.98984292,45.9836895,mackinac,11144
-82.90536597,42.672347,macomb,841769
-86.10233473,44.34123731,manistee,24753
-87.6167435,46.44877988,marquette,67178
-86.276313,43.99714818,mason,28672
-85.3237175,43.640912,mecosta,42947
-87.57624906,45.540635,menominee,24041
-84.387429,43.645954,midland,83744
-85.092853,44.336839,missaukee,14945
-83.4776985,41.90907219,monroe,151944
-85.1997135,43.29352,montcalm,63357
-84.1264875,45.0285455,montmorency,9709
-86.12632153,43.29534632,muskegon,171755
-85.8009415,43.5543185,newaygo,48517
-83.3863885,42.659913,oakland,1207097
-86.2894,43.6435095,oceana,26636
-84.12731,44.3347555,ogemaw,21674
-89.37629659,46.68258174,ontonagon,6703
-85.325797,43.989397,osceola,23486
-84.1291955,44.6818405,oscoda,8709
-84.6121395,45.0284825,otsego,24175
-86.02724691,42.98672982,ottawa,264835
-83.8168815,45.412917,presque isle,13368
-84.6110595,44.3357755,roscommon,24447
-84.0327485,43.3486755,saginaw,200017
-82.706097,42.84377128,st. clair,162978
-85.54175636,41.915301,st. joseph,61314
-82.81177641,43.42226817,sanilac,43096
-86.2402665,46.131351,schoolcraft,8455
-84.1452045,42.95428,shiawassee,70402
-83.401597,43.47517084,tuscola,55616
-86.06391157,42.244998,van buren,76149
-83.8356795,42.2533715,washtenaw,346010
-83.211127,42.24030124,wayne,1822469
-85.577593,44.338583,wexford,32694
